"sub","game","sum","mean.up","mean.rt","median.rt","mean.switch","mean.payoff","prop","count.trial","flag.trial","flag.variance","version","flag.switch.0","flag.switch.1","flag.ns","slope.lottery","flag.slopes","flag.lottery","Gender","Age","age.cat"
"7312338","competition",6,0.4,1836.13333333333,1950,0.642857142857143,8.67446808510638,0.4,15,0,0,"ver1","0","0","0",0.167081410275354,"1","1","M",13,"Adolescents"
"7312338","coordination",8,0.533333333333333,1423.2,1467,0.642857142857143,7.84255319148936,0.533333333333333,15,0,0,"ver1","0","0","0",0.167081410275354,"1","1","M",13,"Adolescents"
"7312338","lottery",13,0.866666666666667,1552.26666666667,1599,0.214285714285714,7.5,0.866666666666667,15,0,0,"ver1","0","0","0",0.167081410275354,"1","1","M",13,"Adolescents"
"7312339","competition",3,0.2,1557.13333333333,1135,0.357142857142857,8.63404255319149,0.2,15,0,0,"ver1","0","0","0",-2.67936029127502,"0","0","M",12,"Adolescents"
"7312339","coordination",8,0.533333333333333,1999.4,1918,0.357142857142857,10.4851063829787,0.533333333333333,15,0,0,"ver1","0","0","0",-2.67936029127502,"0","0","M",12,"Adolescents"
"7312339","lottery",7,0.466666666666667,1240.93333333333,1151,0.214285714285714,9.43333333333333,0.466666666666667,15,0,0,"ver1","0","0","0",-2.67936029127502,"0","0","M",12,"Adolescents"
"7312340","competition",0,0,1264.73333333333,1084,0,8,0,15,0,1,"ver1","0","0","0",-2.37722099594354,"0","0","F",12,"Adolescents"
"7312340","coordination",11,0.733333333333333,1742.8,1534,0.0714285714285714,9.96702127659574,0.733333333333333,15,0,0,"ver1","0","0","0",-2.37722099594354,"0","0","F",12,"Adolescents"
"7312340","lottery",7,0.466666666666667,2987.33333333333,2467,0.214285714285714,9.36666666666667,0.466666666666667,15,0,0,"ver1","0","0","0",-2.37722099594354,"0","0","F",12,"Adolescents"
"7312341","competition",7,0.466666666666667,1585.6490001653,1303.97599980926,0.214285714285714,8.99113475177305,0.466666666666667,15,0,0,"ver1","0","0","0",-2.13329241604867,"0","0","M",12,"Adolescents"
"7312341","coordination",5,0.333333333333333,1565.54526679382,1403.74000000001,0.214285714285714,10.5929078014184,0.333333333333333,15,0,0,"ver1","0","0","0",-2.13329241604867,"0","0","M",12,"Adolescents"
"7312341","lottery",7,0.466666666666667,2200.06420019073,1680.945,0.357142857142857,9.3,0.466666666666667,15,0,0,"ver1","0","0","0",-2.13329241604867,"0","0","M",12,"Adolescents"
"7312343","competition",7,0.466666666666667,553.600000000001,426,0.642857142857143,8.49042553191489,0.466666666666667,15,0,0,"ver1","0","0","0",-0.0415204109430339,"1","1","M",12,"Adolescents"
"7312343","coordination",11,0.733333333333333,921.200000000001,615,0.285714285714286,6.44007092198582,0.733333333333333,15,0,0,"ver1","0","0","0",-0.0415204109430339,"1","1","M",12,"Adolescents"
"7312343","lottery",9,0.6,1463.46666666667,1061,0.428571428571429,7.76666666666667,0.6,15,0,0,"ver1","0","0","0",-0.0415204109430339,"1","1","M",12,"Adolescents"
